,id,type,sectionId,sectionName,webPublicationDate,webTitle,webUrl,apiUrl,fields,isHosted,pillarId,pillarName
0,news/2020/sep/25/weatherwatch-did-marco-set-the-scene-for-hurricane-sally,article,news,News,2020-09-25T20:30:03Z,Weatherwatch: did Marco set the scene for Hurricane Sally?,https://www.theguardian.com/news/2020/sep/25/weatherwatch-did-marco-set-the-scene-for-hurricane-sally,https://content.guardianapis.com/news/2020/sep/25/weatherwatch-did-marco-set-the-scene-for-hurricane-sally,"{'headline': 'Weatherwatch: did Marco set the scene for Hurricane Sally?', 'byline': 'Kate Ravilious', 'shortUrl': 'https://www.theguardian.com/p/epbze'}",False,pillar/news,News
1,news/2020/nov/16/weatherwatch-seabed-holds-clues-to-understanding-hurricanes,article,news,News,2020-11-16T21:30:16Z,Weatherwatch: seabed holds clues to understanding hurricanes,https://www.theguardian.com/news/2020/nov/16/weatherwatch-seabed-holds-clues-to-understanding-hurricanes,https://content.guardianapis.com/news/2020/nov/16/weatherwatch-seabed-holds-clues-to-understanding-hurricanes,"{'headline': 'Weatherwatch: seabed holds clues to understanding hurricanes', 'byline': 'David Hambling', 'shortUrl': 'https://www.theguardian.com/p/fe5fj'}",False,pillar/news,News
2,news/2020/nov/06/us-midwest-storms-in-august-were-costliest-in-countrys-history,article,news,News,2020-11-06T21:30:52Z,US midwest storms in August were costliest in country’s history,https://www.theguardian.com/news/2020/nov/06/us-midwest-storms-in-august-were-costliest-in-countrys-history,https://content.guardianapis.com/news/2020/nov/06/us-midwest-storms-in-august-were-costliest-in-countrys-history,"{'headline': 'US midwest storms in August were costliest in country’s history', 'byline': 'David Hambling', 'shortUrl': 'https://www.theguardian.com/p/fbbx4'}",False,pillar/news,News
3,news/2020/aug/26/why-storms-marco-and-laura-spell-double-trouble-in-hurricane-season,article,news,News,2020-08-26T20:30:33Z,Why storms Marco and Laura spell double trouble in hurricane season,https://www.theguardian.com/news/2020/aug/26/why-storms-marco-and-laura-spell-double-trouble-in-hurricane-season,https://content.guardianapis.com/news/2020/aug/26/why-storms-marco-and-laura-spell-double-trouble-in-hurricane-season,"{'headline': 'Why storms Marco and Laura spell double trouble in hurricane season', 'byline': 'Kate Ravilious', 'shortUrl': 'https://www.theguardian.com/p/ek58h'}",False,pillar/news,News
4,news/2020/jan/31/weatherwatch-how-repeated-flooding-can-shift-levees,article,news,News,2020-01-31T21:30:00Z,Weatherwatch: how repeated flooding can shift levees,https://www.theguardian.com/news/2020/jan/31/weatherwatch-how-repeated-flooding-can-shift-levees,https://content.guardianapis.com/news/2020/jan/31/weatherwatch-how-repeated-flooding-can-shift-levees,"{'headline': 'Weatherwatch: how repeated flooding can shift levees', 'byline': 'David Hambling', 'shortUrl': 'https://www.theguardian.com/p/d755m'}",False,pillar/news,News
5,news/2019/dec/19/weatherwatch-storms-hit-france-and-iceland-as-australia-overheats,article,news,News,2019-12-19T11:33:52Z,Weatherwatch: storms hit France and Iceland as Australia overheats,https://www.theguardian.com/news/2019/dec/19/weatherwatch-storms-hit-france-and-iceland-as-australia-overheats,https://content.guardianapis.com/news/2019/dec/19/weatherwatch-storms-hit-france-and-iceland-as-australia-overheats,"{'headline': 'Weatherwatch: storms hit France and Iceland as Australia overheats', 'byline': 'Daniel Gardner (MetDesk)', 'shortUrl': 'https://www.theguardian.com/p/dv4dq'}",False,pillar/news,News
6,news/2019/sep/18/weatherwatch-do-30-year-mortgages-make-sense-as-sea-levels-rise-faster-annually,article,news,News,2019-09-18T20:30:09Z,Weatherwatch: do 30-year mortgages make sense as sea levels rise faster annually?,https://www.theguardian.com/news/2019/sep/18/weatherwatch-do-30-year-mortgages-make-sense-as-sea-levels-rise-faster-annually,https://content.guardianapis.com/news/2019/sep/18/weatherwatch-do-30-year-mortgages-make-sense-as-sea-levels-rise-faster-annually,"{'headline': 'Weatherwatch: do 30-year mortgages make sense as sea levels rise faster annually?', 'byline': 'Paul Brown', 'shortUrl': 'https://www.theguardian.com/p/cakmm'}",False,pillar/news,News
7,news/2020/oct/21/how-la-nina-will-bring-changes-to-world-weather-patterns,article,news,News,2020-10-21T20:30:06Z,How La Niña will bring changes to the world's weather patterns,https://www.theguardian.com/news/2020/oct/21/how-la-nina-will-bring-changes-to-world-weather-patterns,https://content.guardianapis.com/news/2020/oct/21/how-la-nina-will-bring-changes-to-world-weather-patterns,"{'headline': ""How La Niña will bring changes to the world's weather patterns"", 'byline': 'Ashley Nelis', 'shortUrl': 'https://www.theguardian.com/p/f7v5b'}",False,pillar/news,News
8,news/2019/jul/17/weatherwatch-venice-supercell-storm-endangers-a-cruise-ship-greece-floods-hurricane-barry,article,news,News,2019-07-17T20:30:05Z,World weatherwatch: Venice supercell storm endangers cruise ship,https://www.theguardian.com/news/2019/jul/17/weatherwatch-venice-supercell-storm-endangers-a-cruise-ship-greece-floods-hurricane-barry,https://content.guardianapis.com/news/2019/jul/17/weatherwatch-venice-supercell-storm-endangers-a-cruise-ship-greece-floods-hurricane-barry,"{'headline': 'World weatherwatch: Venice supercell storm endangers cruise ship', 'byline': 'Alessio Martini (MetDesk)', 'shortUrl': 'https://www.theguardian.com/p/bq6ad'}",False,pillar/news,News
9,news/2019/oct/25/weatherwatch-volunteers-worldwide-aided-rescue-efforts-after-dorian,article,news,News,2019-10-25T20:30:29Z,Weatherwatch: volunteers worldwide aided rescue efforts after Dorian,https://www.theguardian.com/news/2019/oct/25/weatherwatch-volunteers-worldwide-aided-rescue-efforts-after-dorian,https://content.guardianapis.com/news/2019/oct/25/weatherwatch-volunteers-worldwide-aided-rescue-efforts-after-dorian,"{'headline': 'Weatherwatch: volunteers worldwide aided rescue efforts after Dorian', 'byline': 'Kate Ravilious', 'shortUrl': 'https://www.theguardian.com/p/chhdj'}",False,pillar/news,News
